,,,,
,Charge,Range (M),Elevation (MIL),Drift (MIL)
,5G,8500,"954,1","35,1"
,5G,8400,"971,6","36,7"
,5G,8300,"987,6","38,3"
,5G,8200,"1002,5","39,8"
,5G,8100,"1016,5","41,3"
,5G,8000,"1029,7","42,8"
,5G,7900,"1042,2","44,3"
,5G,7800,"1054,1","45,8"
,5G,7700,"1065,6","47,3"
,5G,7600,"1076,6","48,8"
,5G,7500,"1087,2","50,3"
,5G,7400,"1097,4","51,9"
,5G,7300,"1107,4","53,5"
,5G,7200,1117,"55,1"
,5G,7100,"1126,3","56,8"
,5G,7000,"1135,5","58,5"
,5G,6900,"1144,3","60,2"
,5G,6800,1153,62
,5G,6700,"1161,4","63,8"
,5G,6600,"1169,7","65,7"
,5G,6500,"1177,7","67,7"
,5G,6400,"1185,6","69,8"
,5G,6300,"1193,3","71,9"
,5G,6200,"1200,9","74,2"
,5G,6100,"1208,2","76,5"
,5G,6000,"1215,5",79
,5G,5900,"1222,6","81,7"
,5G,5800,"1229,5","84,5"
,5G,5700,"1236,3","87,4"
,5G,5600,"1242,9","90,6"
,5G,5500,"1249,4","94,1"
,5G,5400,"1255,7","97,8"
,5G,5300,"1261,9","101,9"
,5G,5200,1268,"106,3"
,5G,5100,"1273,8","111,2"
,5G,5000,"1279,6","116,7"
,5G,4900,"1285,1","122,7"
,5G,4800,"1290,5","129,4"
,5G,4700,"1295,7",137
,4W,0,0,0
,4W,100,5,"0,1"
,4W,200,"9,9","0,2"
,4W,300,"14,9","0,2"
,4W,400,"19,9","0,3"
,4W,500,"24,9","0,4"
,4W,600,30,"0,5"
,4W,700,"35,1","0,6"
,4W,800,"40,3","0,7"
,4W,900,"45,5","0,8"
,4W,1000,"50,7","0,9"
,4W,1100,56,1
,4W,1200,"61,3","1,1"
,4W,1300,"66,7","1,2"
,4W,1400,"72,1","1,3"
,4W,1500,"77,5","1,4"
,4W,1600,83,"1,5"
,4W,1700,"88,5","1,6"
,4W,1800,94,"1,7"
,4W,1900,"99,6","1,8"
,4W,2000,"105,3","1,9"
,4W,2100,111,2
,4W,2200,"116,7","2,1"
,4W,2300,"122,5","2,2"
,4W,2400,"128,3","2,3"
,4W,2500,"134,2","2,4"
,4W,2600,"140,1","2,5"
,4W,2700,146,"2,7"
,4W,2800,"152,1","2,8"
,4W,2900,"158,1","2,9"
,4W,3000,"164,2",3
,4W,3100,"170,4","3,2"
,4W,3200,"176,6","3,3"
,4W,3300,"182,9","3,4"
,4W,3400,"189,3","3,5"
,4W,3500,"195,7","3,7"
,4W,3600,"202,1","3,8"
,4W,3700,"208,7","3,9"
,4W,3800,"215,3","4,1"
,4W,3900,222,"4,2"
,4W,4000,"228,7","4,4"
,4W,4100,"235,5","4,5"
,4W,4200,"242,4","4,7"
,4W,4300,"249,4","4,8"
,4W,4400,"256,5",5
,4W,4500,"263,6","5,1"
,4W,4600,"270,8","5,3"
,4W,4700,"278,2","5,5"
,4W,4800,"285,6","5,6"
,4W,4900,"293,1","5,8"
,4W,5000,"300,8",6
,4W,5100,"308,5","6,2"
,4W,5200,"316,4","6,3"
,4W,5300,"324,4","6,5"
,4W,5400,"332,5","6,7"
,4W,5500,"340,8","6,9"
,4W,5600,"349,2","7,1"
,4W,5700,"357,8","7,3"
,4W,5800,"366,5","7,6"
,4W,5900,"375,4","7,8"
,4W,6000,"384,5",8
,4W,6100,"393,8","8,2"
,4W,6200,"403,4","8,5"
,4W,6300,"413,1","8,7"
,4W,6400,"423,1",9
,4W,6500,"433,4","9,3"
,4W,6600,444,"9,6"
,4W,6700,455,"9,9"
,4W,6800,"466,3","10,2"
,4W,6900,478,"10,5"
,4W,7000,"490,2","10,9"
,4W,7100,"502,8","11,3"
,4W,7200,"516,1","11,7"
,4W,7300,"530,1","12,1"
,4W,7400,"544,9","12,6"
,4W,7500,"560,6","13,1"
,4W,7600,"577,6","13,6"
,4W,7700,"596,2","14,3"
,4W,7800,"616,8",15
,4W,7900,"640,4","15,9"
,4W,8000,"669,1",17
,4W,8100,"708,8","18,7"
,4W,8100,"845,4","25,7"
,4W,8000,"884,9","28,2"
,4W,7900,"913,4","30,2"
,4W,7800,"936,9",32
,4W,7700,"957,4","33,7"
,4W,7600,"975,8","35,4"
,4W,7500,"992,7","36,9"
,4W,7400,"1008,3","38,5"
,4W,7300,1023,40
,4W,7200,"1036,8","41,6"
,4W,7100,1050,"43,1"
,4W,7000,"1062,5","44,7"
,4W,6900,"1074,5","46,3"
,4W,6800,"1086,1","47,8"
,4W,6700,"1097,3","49,5"
,4W,6600,"1108,1","51,1"
,4W,6500,"1118,5","52,8"
,4W,6400,"1128,6","54,5"
