velocity_ms,target_range_m,real_elevation_deg,model_elevation_deg,real_drift_deg,model_drift_deg,actual_range_m,elevation_error_deg,range_error_m
286,3000.0,11.642502496,17.63635728125,0.22918312,0.0,3007.3514966014054,5.993854785249999,7.351496601405415
286,100.0,0.3552338359999999,,0.005729578,,,,
286,6400.0,55.513881242,,1.988163566,,,,
286,3200.0,12.536316664,19.5163750625,0.2463718539999999,0.0,3179.495269897108,6.980058398500001,-20.504730102892154
286,2400.0,9.069921974,11.996303937499999,0.1776169179999999,0.0,2360.008512729689,2.926381963499999,-39.991487270311154
286,900.0,3.220022836,,0.05729578,,,,
286,6300.0,56.68271515399999,,2.097025548,,,,
286,4700.0,20.145196248,,0.4182591939999999,,,,
286,5800.0,61.375239536,,2.6241467239999996,,,,
286,4900.0,67.534535886,,3.7242257,,,,
286,6100.0,30.229253528,,0.693278938,,,,
286,5700.0,62.1659213,,2.727279128,,,,
380,5700.0,72.86877300399999,,6.491611873999999,,,,
